workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,result
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
?,HS-grad,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,>50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
?,1st-4th,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
?,Bachelors,Divorced,?,Not-in-family,White,Female,0,0,50,United-States,<=50K
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K
Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K
Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K
Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
?,HS-grad,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
Private,11th,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50K
Private,11th,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
?,1st-4th,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
?,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,<=50K
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,>50K
Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
?,Some-college,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50K
Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,?,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,?,<=50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K
?,Some-college,Never-married,?,Own-child,White,Male,0,0,24,Canada,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,>50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Private,9th,Never-married,Other-service,Own-child,White,Male,1055,0,24,United-States,<=50K
Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,United-States,<=50K
Local-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
Private,HS-grad,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
